x,y,z,ctl,deaths
-10,-10,30,242,3
-10,-10,33,169,2
-10,-10,36,68,1
-10,0,-36,80,1
-10,0,-33,148,1
-10,0,-30,358,4
-10,0,-27,538,6
-10,0,-24,738,5
-10,0,-21,489,6
-10,0,-18,543,4
-10,0,-15,454,3
-10,0,-12,850,4
-10,0,-9,684,5
-10,0,-6,518,8
-10,0,-3,460,1
-10,0,0,295,2
-10,0,3,660,7
-10,0,6,279,4
-10,0,9,508,6
-10,0,12,610,6
-10,0,15,303,4
-10,0,18,540,5
-10,0,21,743,5
-10,0,24,493,4
-10,0,27,346,3
-10,0,30,407,3
-10,0,33,337,3
-10,0,36,700,7
-10,10,-33,113,0
-10,10,-30,199,1
-10,10,-27,542,3
-10,10,-24,293,1
-10,10,-21,444,1
-10,10,-18,241,5
-10,10,-15,337,1
-10,10,-12,511,8
-10,10,-9,390,4
-10,10,-6,284,4
-10,10,-3,569,4
-10,10,0,442,4
-10,10,3,212,2
-10,10,6,535,4
-10,10,9,402,2
-10,10,12,276,4
-10,10,15,183,3
-10,10,18,475,2
-10,10,21,671,12
-10,10,24,170,1
-10,10,27,427,3
-10,10,30,116,1
-10,10,33,143,3
-10,10,36,91,1
-10,20,-36,51,1
-10,20,-33,15,1
-10,20,-30,149,2
-10,20,-27,162,2
-10,20,-24,562,1
-10,20,-21,239,4
-10,20,-18,357,5
-10,20,-15,302,4
-10,20,-12,343,7
-10,20,-9,546,8
-10,20,-6,470,4
-10,20,-3,220,0
-10,20,0,96,1
-10,20,3,236,1
-10,20,6,738,4
-10,20,9,374,5
-10,20,12,160,0
-10,20,15,45,0
-10,20,21,593,2
-10,20,24,253,1
-10,20,27,266,3
-10,20,30,287,2
-10,20,33,403,3
-10,20,36,206,0
-10,30,-36,102,1
-10,30,-33,178,2
-10,30,-30,22,1
-10,30,-27,121,1
-10,30,-24,227,0
-10,30,-21,244,3
-10,30,-18,139,1
-10,30,-15,230,3
-10,30,-12,106,1
-10,30,-9,165,0
-10,30,-6,384,5
-10,30,-3,405,6
-10,30,0,255,3
-10,30,3,227,2
-10,30,6,44,1
-10,30,9,288,3
-10,30,12,179,0
-10,30,15,290,3
-10,30,18,286,3
-10,30,21,145,1
-10,30,24,181,2
-10,30,27,382,3
-10,40,-33,23,0
-10,40,-27,187,1
-10,40,-24,230,1
-10,40,-21,19,1
-10,40,-18,63,0
-10,40,-15,203,2
-10,40,-12,187,2
-10,40,-9,81,1
-10,40,-6,174,2
-10,40,-3,417,4
-10,40,0,16,1
-10,40,3,114,2
-10,40,6,121,2
-10,40,9,137,4
-10,40,12,420,4
-10,40,15,179,3
-10,40,21,19,0
-10,40,27,5,0
-10,40,30,16,0
-10,40,33,156,2
-10,50,-36,9,0
-10,50,-30,11,0
-10,50,-27,49,1
-10,50,-15,69,1
-10,50,-12,36,0
-10,50,-9,136,1
-10,50,-3,236,2
-10,50,0,145,0
-10,50,3,198,2
-10,50,6,23,0
-10,50,12,71,0
-10,50,24,38,0
-10,50,27,92,0
-10,50,30,67,0
-10,60,-30,5,0
-10,60,3,36,0
0,-70,-6,49,1
0,-70,-3,93,1
0,-70,0,1,1
0,-60,-18,9,0
0,-60,-9,100,1
0,-60,-6,120,1
0,-60,-3,191,2
0,-60,0,64,0
0,-60,9,90,2
0,-60,21,48,1
0,-60,30,59,1
0,-60,33,38,1
0,-60,36,71,0
0,-50,-18,104,0
0,-50,-15,213,1
0,-50,-12,127,3
0,-50,-9,141,2
0,-50,-6,96,2
0,-50,-3,58,0
0,-50,0,276,1
0,-50,12,52,0
0,-50,18,114,0
0,-50,21,202,0
0,-50,24,15,0
0,-40,-36,123,0
0,-40,-27,110,1
0,-40,-24,78,1
0,-40,-21,79,1
0,-40,-18,355,3
0,-40,-15,99,1
0,-40,-12,173,1
0,-40,-9,391,4
0,-40,-6,175,1
0,-40,-3,338,2
0,-40,0,124,3
0,-40,3,406,3
0,-40,6,197,3
0,-40,9,322,3
0,-40,12,217,4
0,-40,15,354,3
0,-40,18,66,1
0,-40,21,218,1
0,-40,24,153,2
0,-40,27,128,0
0,-40,33,108,0
0,-30,-36,54,0
0,-30,-33,121,0
0,-30,-30,49,0
0,-30,-27,83,3
0,-30,-24,238,5
0,-30,-21,365,3
0,-30,-15,417,3
0,-30,-12,266,2
0,-30,-9,431,7
0,-30,-6,553,4
0,-30,-3,570,4
0,-30,0,259,0
0,-30,3,272,1
0,-30,6,125,2
0,-30,9,226,4
0,-30,12,413,2
0,-30,15,268,3
0,-30,18,26,1
0,-30,21,238,1
0,-30,24,345,4
0,-30,27,201,3
0,-30,30,30,1
0,-30,33,40,1
0,-20,-36,179,3
0,-20,-33,184,3
0,-20,-30,98,1
0,-20,-27,691,9
0,-20,-24,581,3
0,-20,-21,521,3
0,-20,-18,141,3
0,-20,-15,979,5
0,-20,-12,647,7
0,-20,-9,541,8
0,-20,-6,410,4
0,-20,-3,756,8
0,-20,0,499,4
0,-20,3,596,7
0,-20,6,682,6
0,-20,9,491,2
0,-20,12,544,5
0,-20,15,310,5
0,-20,18,414,5
0,-20,21,364,3
0,-20,24,276,5
0,-20,27,480,5
0,-20,30,656,8
0,-20,33,473,3
0,-20,36,264,2
0,-10,-36,184,0
0,-10,-33,6,0
0,-10,-30,154,2
0,-10,-27,485,3
0,-10,-24,632,3
0,-10,-21,236,1
0,-10,-18,181,4
0,-10,-15,713,8
0,-10,-12,223,5
0,-10,-9,232,0
0,-10,-6,516,8
0,-10,-3,416,5
0,-10,0,398,5
0,-10,3,401,5
0,-10,6,382,6
0,-10,9,333,3
0,-10,12,608,7
0,-10,15,298,2
0,-10,18,524,3
0,-10,21,704,3
0,-10,24,679,10
0,-10,27,56,0
0,-10,30,374,3
0,-10,33,361,3
0,-10,36,327,2
0,0,-36,340,6
0,0,-33,163,1
0,0,-30,573,7
0,0,-27,210,2
0,0,-24,490,6
0,0,-21,250,6
0,0,-18,596,7
0,0,-15,421,9
0,0,-12,648,7
0,0,-9,411,5
0,0,-6,668,6
0,0,-3,558,5
0,0,0,437,4
0,0,3,553,6
0,0,6,608,4
0,0,9,799,6
0,0,12,503,4
0,0,15,523,6
0,0,18,432,3
0,0,21,625,6
0,0,24,627,8
0,0,27,330,3
0,0,30,287,4
0,0,33,170,2
0,0,36,209,3
0,10,-36,362,5
0,10,-33,74,1
0,10,-30,705,6
0,10,-27,616,6
0,10,-24,729,4
0,10,-21,201,3
0,10,-18,587,5
0,10,-15,796,7
0,10,-12,605,3
0,10,-9,398,3
0,10,-6,504,3
0,10,-3,411,5
0,10,0,859,9
0,10,3,661,7
0,10,6,876,9
0,10,9,160,2
0,10,12,230,2
0,10,15,619,6
0,10,18,224,1
0,10,21,1028,9
0,10,24,402,7
0,10,27,206,4
0,10,30,197,1
0,10,33,340,4
0,10,36,246,2
0,20,-36,557,5
0,20,-33,205,1
0,20,-30,413,4
0,20,-27,49,0
0,20,-24,485,6
0,20,-21,588,4
0,20,-18,219,3
0,20,-15,661,8
0,20,-12,697,8
0,20,-9,295,3
0,20,-6,429,3
0,20,-3,952,10
0,20,0,642,9
0,20,3,788,10
0,20,6,764,6
0,20,9,654,8
0,20,12,776,6
0,20,15,859,8
0,20,18,562,5
0,20,21,369,8
0,20,24,473,6
0,20,27,232,2
0,20,30,161,1
0,20,33,204,5
0,20,36,299,5
0,30,-36,146,3
0,30,-33,673,5
0,30,-30,209,4
0,30,-27,129,1
0,30,-24,306,1
0,30,-21,199,1
0,30,-18,700,8
0,30,-15,485,4
0,30,-12,345,1
0,30,-9,809,9
0,30,-6,500,8
0,30,-3,506,4
0,30,0,426,5
0,30,3,433,7
0,30,6,303,1
0,30,9,74,2
0,30,12,328,2
0,30,15,188,1
0,30,18,502,6
0,30,21,104,0
0,30,24,126,2
0,30,27,109,2
0,30,30,341,4
0,30,33,56,1
0,30,36,30,0
0,40,-33,26,0
0,40,-27,32,0
0,40,-24,101,1
0,40,-21,29,0
0,40,-18,148,2
0,40,-15,120,0
0,40,-12,168,0
0,40,-9,142,3
0,40,-6,204,3
0,40,-3,486,5
0,40,0,274,4
0,40,3,306,4
0,40,6,364,3
0,40,9,178,1
0,40,12,259,2
0,40,15,111,2
0,40,18,76,1
0,40,21,172,3
0,40,27,267,1
0,40,33,103,0
0,40,36,98,2
0,50,-18,260,1
0,50,-15,35,0
0,50,-12,196,1
0,50,-3,65,2
0,50,9,36,1
0,50,12,81,0
0,50,15,6,0
0,50,21,31,0
0,50,30,129,1
0,50,33,308,4
0,50,36,56,0
10,-60,36,37,0
10,-50,-24,70,0
10,-50,-18,117,1
10,-50,-9,108,2
10,-50,-3,40,1
10,-50,0,335,3
10,-50,3,58,1
10,-50,9,2,0
10,-50,12,174,2
10,-50,33,152,1
10,-40,-36,26,0
10,-40,-33,82,1
10,-40,-24,12,0
10,-40,-21,168,1
10,-40,-18,104,2
10,-40,-15,215,1
10,-40,-9,9,0
10,-40,0,423,3
10,-40,3,37,1
10,-40,6,211,2
